les (de),/lɛs/,lesson/class,,
hoe,/ɦu/,how (what),,
heet (heten),/ɦeːt/ ( /ˈɦeː.tə(n)/),are called,,
je,/jə/,you,,
hallo,/ɦɑˈloː/,hi,,
ik,/ɪk/ ;  /ək/,I,,
ben,/bɛn/,am,,
mijn,/mɛi̯n/ ; /mən/ ,my,,
naam (de),/naːm/,name,,
is,/ɪs/,is,,
de,/də/,the,,
docent (de),/doːˈsɛnt/,teacher,,
wie,/ʋi/,who,,
jij,/jɛi̯/ ;  /jə/,you,,
wat,/ʋɑt/,what,,
je,/jə/,your,,
dag,/dɑx/,hello,,
mevrouw (de),/məˈvrɑu̯/,madam,,
uit,/œy̯t/,from,,
welk,/ʋɛlk/,which,,
land (het),/lɑnt/,country,,
kom (komen),/kɔm/ (/ˈkoːmə(n)/),come,,
zegt (zeggen),/zɛxt/ (/ˈzɛɣə(n)/),say,,
u ,/y/,you,,
waar,/ʋaːr/,where,,
vandaan,/ʋɑndaːn/,from,,
Frankrijk,/ˈfrɑŋ.krɛi̯k/,France,,
en, /ɛn/ ; /ən/,and,,
meneer,/məˈneːr/,sir,,
uw,yu̯,your,,
komt (komen),/kɔmt/ (/ˈkoːmə(n)/),come,,
China,.,China,,
woont (wonen),/ʋoːnt/ ; /ˈʋoːnə(n)/,live,,
in,/ɪn/,in,,
welke (welk),/ˈʋɛlkə/ (/ʋɛlk/),which ,,
stad (de),/stɑt/,city,,
woon (wonen),/ʋoːn/,live,,
nu,/ny/,now,,
Den Haag,/dɛnˈɦaːx/,The Hague,,
straat (de),/straːt/,street,,
het,/(ɦ)ət/ ; /ɦɛt/,the,,
centrum (het),/ˈsɛn.trʏm/,center,,
op,/ɔp/,at,,
nummer (het),/ˈnʏ.mər/,number,,
tenefoonnummer (het),/teː.ləˈfoːˌnʏ.mər/,telephone number,,
ook,/oːk/,also,,
nee,/neː/ ; /neɪ/ ,no ,,
dichtbij,/dɪxtˈbɛi̯/,close to,,
haar,/ɦaːr/,her,,
achternaam (de),/ˈɑx.tərˌnaːm/,surname (family name),,
zij,/zɛi̯/ ; /zə/,she,,
Nederland,/ˈneː.dərˌlɑnt/,the Netherlands,,
niet,/nit/,not,,
hij,/ɦɛi̯/,he,,
voornaam (de),/ˈvoːrˌnaːm/,first name,,
adres (de),/aːˈdrɛs/,adress,,
postcode (de),/ˈpɔstˌkoː.də/,postcode,,
plaats (de),/plaːts/,city,,
telefoon (de),/teː.ləˈfoːˌn/,telephone ,,
mobiel ,/moːˈbil/,mobile,,
werk (het),/ʋɛrk/,work,,
Engeland,/ˈɛ.ŋəˌlɑnt/,England,,
heb (hebben),/ɦɛp/ (/ˈɦɛbə(n)/),have,,
Engelse,/ˈɛŋəlsə/,English,,
Nederlandse (Nederlands),/ˈneːdərlɑntsə/,Dutch ,,
nationaliteit (de),/naː(t)ʃoːˈnaːl/,nationality,,
lang,/lɑŋ/,long,,
hier,/ɦir/,here,,
zes,/zɛs/,six,,
jaar (het),/jaːr/,years,,
leeftijd (de),/ˈleːf.tɛi̯t/,age,,
wanneer,/ʋɑˈneːr/,when,Wanneer komt de trein?,
ben,/bɛn/,are ,,
geboren,/ɣəˈboːrə(n)/,born ,,
maart,/maːrt/,March ,,
alleen,/ɑˈleːn/,alone,,
bij,/bɛi̯/,with,,
vrienden (de vriend),/ˈvrin.də(n)/ (/vrint/),friends,,
of,/ɔf/,or,,
familie (de),/fɑˈmi.li/,family,,
getrouwd (trouwen),/ɣəˈtrɑu̯t/ (/ˈtrɑu̯ə(n)/),married,Wil je met me trouwen?,
met,/mɛt/ ; /mɛ/,to,Heb je zin om met kerst bij ons langs te komen?,
een,/ən/,a,,
Nederlander (de),/ˈneː.dərˌlɑnt/ + er,Dutchman,,
zijn,/zɛi̯n/,his,Een man en zijn hond.,
we ,/ʋə/,we,,
wonen,/ˈʋoːnə(n)/,live,,
jullie ,/ˈjʏli/ ; /ˈjy.li/,you,Zijn jullie klaar?,Dit zal niet werken voor jullie.
huis (het),/ɦœy̯s/,house,,
buiten ,/ˈbœy̯.tə(n)/,outside,,
hebben,/ˈɦɛbə(n)/,have ,,
kinderen (het kind),/ˈkɪn.də.rə(n)/ (/kɪnt/),children,"Lieve kinderen, wij missen jullie.",
ja ,/jaː/,yes,"Wil je met ons meegaan? — Ja, graag!",
twee ,/tʋeː/,two,,
jongen (de),/ˈjɔ.ŋə(n)/,boy,,
van,/vɑn/,of,de hoed van het meisje,
drie ,/dri/,three,,
meisje (het),/ˈmɛi̯.ʃə/,girl,Geef het meisje haar boek.,
vijf ,/vɛi̯f/,five,,
maanden (de maand),/ˈmaːn.də(n)/ (/maːnt/),months,,
ze ,/zə/,they,Daar zitten ze.,
heten ,/ˈɦeː.tə(n)/,are called,Deze kat heet Felix.,
ze ,/zə/,she,Daar zit ze.,
man (de),/mɑn/,husband,,
zoon (de),/zoːn/,son,Mijn zoon wil met de jouwe spelen.,
dochter (de),/ˈdɔx.tər/,daughter,,
hun,/ɦʏn/,their,,
moeder (de),/ˈmu.dər/,mother,,
vader (de),/ˈvaː.dər/,father ,"Luuk, ik ben je vader.",
heeft (hebben),/ɦeːft/ (/ˈɦɛbə(n)/),has,Ik heb griep.,
geen ,/ɣeːn/,no ,Ik ben geen robot.,
